Start time,End time,Access_Token_DEV,Login_Icon_DEV,Satiro_Login,Satiro_Login_LH,Satiro Server,Satiro_Serve_LH,Access_Token_UAT,Login_Icon_UAT,Medusa_Login,Medusa_Login_LH,Medusa_Server,Medusa_Server_LH
2025-04-17 00:14:55,2025-04-17 00:28:55,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-17 00:31:17,2025-04-17 00:45:17,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-17 00:47:38,2025-04-17 01:01:38,OK,BAD,OK,BAD,BAD,WARN,OK,OK,OK,OK,OK,OK
2025-04-17 01:04:03,2025-04-17 01:18:03,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 01:20:25,2025-04-17 01:34:25,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 01:37:03,2025-04-17 01:51:03,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 01:53:28,2025-04-17 02:07:28,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 02:10:03,2025-04-17 02:24:03,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 02:26:42,2025-04-17 02:40:42,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 02:43:08,2025-04-17 02:57:08,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 02:59:32,2025-04-17 03:13:32,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
2025-04-17 03:16:02,2025-04-17 03:30:02,BAD,WARN,OK,BAD,BAD,WARN,BAD,WARN,OK,BAD,OK,WARN
